sx sz
1000.00 280.00
1428.57 280.00
1857.14 280.00
2285.71 280.00
2714.29 280.00
3142.86 280.00
3571.43 280.00
4000.00 280.00
4428.57 280.00
4857.14 280.00
5285.71 280.00
5714.29 280.00
6142.86 280.00
6571.43 280.00
7000.00 280.00
7428.57 280.00
7857.14 280.00
8285.71 280.00
8714.29 280.00
9142.86 280.00
9571.43 280.00
10000.00 280.00
10428.57 280.00
10857.14 280.00
11285.71 280.00
11714.29 280.00
12142.86 280.00
12571.43 280.00
13000.00 280.00
13428.57 280.00
13857.14 280.00
14285.71 280.00
14714.29 280.00
15142.86 280.00
15571.43 280.00
16000.00 280.00
